name,role,Latitude ,Longitude,allowed_load_types,default_units_loaded,notes
CHEMOIL BERTH 209,dropoff,33.7518,-118.207,crude,150,
CHEVRON 2E,pickup,35.6986,-119.795,crude,150,
CHEVRON FEE,pickup,35.0818,-119.12,crude,150,
CIMMARON MT. POSO,pickup,35.5527,-118.936,crude,150,
CLAFLIN LEASE,pickup,35.3729,-118.842,crude,150,
COALINGA MONTEREY LEASE,pickup,35.2167,-119.566,crude,150,
COALINGA STATION - HEAVY RACK,dropoff,36.1923,-120.355,crude,150,
COALINGA STATION - LIGHT RACK,dropoff,36.1913,-120.357,crude,150,
COFFEE LEASE,pickup,35.509889,-118.883022,crude,150,
COGHLAN MCDONALD LEASE,pickup,35.2281,-119.563,crude,150,
COHN (HATHAWAY),pickup,35.3774,-118.867,crude,150,
COLM LEASE,pickup,35.4832,-119.763,crude,150,
COMINGLE LEASE KOR,pickup,35.385,-119.077,crude,150,
COMMUNITY - PETRO LUD,pickup,36.0008,-119.043,crude,150,
COMMUNITY LEASE,pickup,35.3991,-119.067,crude,150,
CONOCO LEASE,pickup,35.5369,-119.078,crude,150,
CONTINENTAL STATION - PBF,dropoff,35.1473,-119.472,crude,150,
COREY,pickup,35.3203,-118.918,crude,150,
CRANE LEASE,pickup,34.9954,-118.896,crude,150,
CRC 27 R,pickup,35.280664,-119.48434,crude,150,
CRC BV HILLS 27G,pickup,35.19919,-119.389538,crude,150,
CRC HUNTINGTON BEACH,pickup,33.6697,-118.017,crude,150,
CRC N SHAFTER LEASE - BLAZE 2H,pickup,35.528736,-119.272008,crude,150,
CRC/AERA METSON LEASE,pickup,35.020404,-119.287506,crude,150,
CRIMSON USA-1,pickup,35.054,-119.331,crude,150,
CROWN LEASE,pickup,35.0501,-118.779,crude,150,
CUCCIA,pickup,35.5557,-119.083,crude,150,
CUNNINGHAM LEASE,pickup,35.1504,-119.492,crude,150,
CUYAMA LEASE,pickup,34.902,-119.706,crude,150,
CUYAMA SOUTH LEASE,pickup,34.959,-119.713,crude,150,
CWOD LEASE,pickup,35.3054,-119.709,crude,150,
DAGNEY GAP LEASE,pickup,35.7754,-120.019,crude,150,
DAVIS - PCEC LCO DROP,dropoff,34.724,-120.136472,crude,150,
DAVIS SMITH LEASE,pickup,35.8503,-120.063,crude,150,
CLEMENS,pickup,35.31073813,-118.9039448,crude,150,
DEBBIE LEASE,pickup,36.514,-120,crude,150,
DELANY TUNNEL,pickup,34.8467,-120.327,crude,150,
DERBY,pickup,35.269885,,crude,150,
DIAS LEASE,pickup,34.8884,-120.312,crude,150,
10G T427 DILUENT OFFLOAD,pickup,35.239665,-119.379999,crude,150,
DIXIE LEE LEASE,pickup,35.3945,-119.051,crude,150,
DODGE LEASE,pickup,35.0457,-119.352,crude,150,
DOME LEASE,pickup,35.2207,-119.585,crude,150,
DON CERINI,pickup,36.438,-119.89,crude,150,
DORSEY LEASE,pickup,35.549,-118.931,crude,150,
DOUGHERTY LEASE,pickup,35.9469,-119.977,crude,150,
DRUM CANYON LEASE,pickup,34.718,-120.278,crude,150,
DRYDEN - CRC,pickup,34.3622,-118.921,crude,150,
DULCICH,pickup,35.0933,-119.136,crude,150,
DULCICH LEASE,pickup,35.0937,-119.133,crude,150,
DYER CREEK LEASE,pickup,35.6793,-119.034,crude,150,
DYSON LEASE,pickup,36.4827,-119.842,crude,150,
E&B ANDERSON,pickup,35.3029,-119.682,crude,150,
E&B CARIBOU,pickup,35.502,-119.085,crude,150,
E&B MCVANN,pickup,35.5855,-119.044,crude,150,
E&B RIO BRAVO,pickup,35.5463,-119.079,crude,150,
EAGLE SUNSET LEASE,pickup,36.6134,-120.058,crude,150,
EDISON SECURITY LEASE,pickup,35.3464,-118.91,crude,150,
ELLIOT UNDERGROUND - O'CONNER,pickup,36.403414,-120.993444,crude,150,
ELLIOTT-GLIDE 1-27 (PETRO-LUD),pickup,35.549056,-118.957611,crude,150,
EM LEASE,pickup,35.4388,-118.95,crude,150,
EMIDIO STATION,pickup,35.0597,-119.065,crude,150,
ENAS 21 LEASE,pickup,35.5626,-119.079,crude,150,
ENGINEER OIL LEASE,pickup,35.2319,-119.575,crude,150,
ENOS LEASE,pickup,34.927,-120.393,crude,150,
ENRON 1 34 LEASE,pickup,35.2791,-119.178,crude,150,
ERG CAT CANYON - 2ND POINT,pickup,34.8386,-120.302,crude,150,
ERG CAT CANYON LEASE,pickup,34.8377,-120.3,crude,150,
ESCOLLE - AMRICH ENERGY,pickup,34.8348,-120.472,crude,150,
ESSEX,pickup,35.0749,-119.371,crude,150,
ETHEL D LEASE,pickup,35.0787,-119.385,crude,150,
F.E SMITH LOADING POINT,pickup,35.3052,-119.682,crude,150,
FONTS COURTNEY,pickup,36.4428,-119.883,crude,150,
FOTH,pickup,35.415858,-119.055785,crude,150,
FOUR DEER,pickup,34.8013,-120.352,crude,150,
FRUITVALE LOADING FACILITY,pickup,35.3869,-119.066,crude,150,
FULTON NEPPLE ,pickup,33.944,-118.079,crude,150,
G2 M LEASE,pickup,35.0234,-118.995,crude,150,
GABRIEL 12 Y LEASE,pickup,35.3233,-119.663,crude,150,
GABRIEL LEASE,pickup,36.5003,-119.982,crude,150,
GABRIEL ROBERTSON,pickup,35.3194,-119.667,crude,150,
GAS PLANT,pickup,35.5645,-119.472,crude,150,
GENERAL CARBON,dropoff,33.9719,-118.244,crude,150,
GETTY LEASE,pickup,35.8469,-120.059,crude,150,
GIBSON (NEWBERRY) LEASE,pickup,35.4507,-118.872,crude,150,
GIL SESNON,pickup,35.502,-119.095,crude,150,
GILL (MITCHELL OIL),pickup,35.5036,-119.095,crude,150,
GLIDE 33 - CRC,pickup,35.5395,-118.96,crude,150,
GLIDE SECTION 15 LEASE,pickup,35.5739,-118.953,crude,150,
GOFORTH LEASE,pickup,35.3191,-119.659,crude,150,
GRADE 6,pickup,35.4358,-119.006,crude,150,
GRAHAM FACILITY,pickup,35.3347,-118.869,crude,150,
GREELEY OIL LEASE - CRIMSON RESOURCES,pickup,35.4173,-119.231,crude,150,
GREKA - CAP REFINERY,dropoff,34.9302,-120.511,crude,150,
GREKA - SECURITY LEASE,pickup,34.8622,-120.335,crude,150,
GUMP TRUST,pickup,35.6323,-119.867,crude,150,
GUSTI LWTO LEASE,pickup,35.4025,-119.051,crude,150,
HALL SHEEP SPRINGS LEASE,pickup,35.4026,-119.729,crude,150,
HANCOCK LEASE,pickup,34.94,-120.399,crude,150,
HARNISH MCCORMICK,pickup,36.4355,-120.14,crude,150,
HART DARREN,pickup,35.0654,-119.369,crude,150,
HATHAWAY - JASMINE,pickup,35.756,-119.059,crude,150,
HAZELTON LEASE,pickup,35.043,-119.351,crude,150,
HELM EAST,pickup,36.4468,-120.004,crude,150,
HELM LEASE,pickup,36.4719,-120.043,crude,150,
HERSHEY LEASE,pickup,35.3145,-118.83,crude,150,
HOEY 1-20,pickup,36.4371,-120.144,crude,150,
HOLMES WESTERN LEASE,pickup,35.0657,-119.337,crude,150,
