name,role,Latitude ,Longitude,allowed_load_types,default_units_loaded,notes
SOWERS FEE LEASE,pickup,35.3902,-119.046,crude,150,
SPEED,pickup,35.3289,-118.847,crude,150,
SPOLSDOFF,pickup,36.4294,-119.888,crude,150,
STANFORD LEASE,pickup,35.4659,-119.849,crude,150,
STAR ROBINSON LEASE,pickup,35.476,-119.059,crude,150,
STAR USL LEASE,pickup,35.4762,-119.059,crude,150,
STATION 4 LEASE,pickup,36.2347,-120.298,crude,150,
STENDERUP 56 (MOUNTAINVIEW),pickup,35.2011,-118.869,crude,150,
STOCKTON LEASE KOR,pickup,35.2073,-118.818,crude,150,
STRAND LEASE,pickup,35.3492,-119.251,crude,150,
SUMPF-HELM 1 - 3MB OIL & GAS,pickup,,,crude,150,
SUNDAY CENTRAL LEASE,pickup,35.6637,-119.011,crude,150,
SUNSET LEASE,pickup,35.0504,-119.356,crude,150,
SUNSET PUMPING STATION,pickup,35.0972,-119.392,crude,150,
SURFLUH 14 LEASE,pickup,36.6275,-120.082,crude,150,
SUZANNE LEMONS LEASE,pickup,35.8392,-120.054,crude,150,
SUZZANE COMPASS LEASE,pickup,35.8433,-120.054,crude,150,
SW CORNER,pickup,,,crude,150,
SWAN LEASE,pickup,35.4927,-118.947,crude,150,
T.B.I.D LEGACY OIL,pickup,35.9929,-119.04,crude,150,
TARGET LEASE - CALIFORNIA PETROLEUM GROUP,pickup,35.1861,-119.532,crude,150,
TEETER TOTTER,pickup,35.0588,-119.397,crude,150,
TEJON A CRC,pickup,,,crude,150,
TEJON NORTH CTB - MISSION C 64B,pickup,35.0265,-118.963,crude,150,
TEJON RANCH - (PLAINS PURCHASED CRUDE 4/20),pickup,35.0866,-118.813,crude,150,
TEJON RANCH - LONGBOW LLC,pickup,,,crude,150,
TEMBLOR LEASE,pickup,35.4036,-119.748,crude,150,
TEN SECTION,pickup,35.2869,-119.213,crude,150,
TEN SECTION - CALIFORNIA OIL,pickup,35.3,-119.239,crude,150,
TEN WEST SEC 35,pickup,34.9935,-119.092,crude,150,
TENBY(OXNARD),pickup,34.196,-119.126,crude,150,
TETRA CAULEY,pickup,35.4982,-119.08,crude,150,
TETRA TECH - POLB REGISTRATION STICKERS,pickup,33.7824,-118.211,crude,150,
TEXACO FEE LEASE,pickup,35.7598,-119.862,crude,150,
THE SPOT,pickup,35.5798,-119.713,crude,150,
THETA 12 LEASE,pickup,35.6751,-119.775,crude,150,
THETA 30 LEASE,pickup,35.4681,-119.858,crude,150,
THETA LEASE,pickup,35.4815,-119.837,crude,150,
THOMPKINS LEASE,pickup,34.837,-120.507,crude,150,
TOGADAMS LEASE,pickup,34.9432,-120.55,crude,150,
TOGNAZZINI LEASE,pickup,34.7839,-120.246,crude,150,
TRANSITION LEASE - AKA GRAPEVINE CRC,pickup,34.9858,-118.93,crude,150,
TRAVIS LEASE,pickup,34.8757,-120.309,crude,150,
TRIBE B LEASE,pickup,35.5508,-118.965,crude,150,
TRICOR REFINING COMPANY,pickup,35.4182,-119.011,crude,150,
TRINO LEASE,pickup,35.2458,-118.865,crude,150,
TRIO LEASE,pickup,35.3454,-119.006,crude,150,
TULARE LEASE,pickup,35.2981,-119.656,crude,150,
TUMBADOR LEASE,pickup,35.2229,-119.587,crude,150,
TUNNELL LEASE,pickup,34.8808,-120.319,crude,150,
TWISSLEMAN ANDERSON LEASE,pickup,35.4125,-119.744,crude,150,
UNION - TRIO PETROLEUM,pickup,,,crude,150,
UNION BANK LEASE,pickup,35.7639,-119.868,crude,150,
UNION SUGAR LEASE,pickup,34.9518,-120.593,crude,150,
USL (PLAINS) LEASE,pickup,35.4238,-119.765,crude,150,
USL 15 LEASE,pickup,35.1422,-119.492,crude,150,
USL 4 LEASE,pickup,35.2542,-119.61,crude,150,
USL HATHAWAY,pickup,35.57,-119.091,crude,150,
USL LEASE,pickup,35.4238,-119.765,crude,150,
VALERO ASPHALT - WILMINGTON,dropoff,33.7801,-118.238,crude,150,
VALLEY PACIFIC BULK PLANT,pickup,35.4464,-119.254,crude,150,
VEDDER LEASE,pickup,35.2394,-119.609,crude,150,
VEDDER PARKFORD LEASE,pickup,35.4164,-118.919,crude,150,
VILLARD LEASE - GRIFFIN RESOURCES,pickup,,,crude,150,
VINTAGE STORAGE FACILITY,pickup,35.5255,-119.27,crude,150,
VOIGT E&B,pickup,,,crude,150,
WAGE LEASE,pickup,35.6545,-119.961,crude,150,
WEBBER LEASE,pickup,35.2768,-119.593,crude,150,
WEST SLOPE LEASE,pickup,35.8333,-120.05,crude,150,
WF36,pickup,35.6215,-119.332,crude,150,
WHEAT LEASE,pickup,34.9283,-120.438,crude,150,
WHEELER RIDGE KCL - L-SOUTH,pickup,34.994,-118.971,crude,150,
WHIPTAIL MIDSTREAM SHIPPING FACILITY,pickup,36.2255,-107.529,crude,150,
WHITE WOLF LEASE,pickup,35.0085,-119.134,crude,150,
WICKENDEN LEASE,pickup,34.8164,-120.241,crude,150,
WIGGINS LEASE,pickup,36.5701,-120.024,crude,150,
WILCOX,pickup,35.5186,-119.079,crude,150,
WILLIAMS E&B,pickup,,,crude,150,
WILLIAMS HOLDING LEASE,pickup,34.8522,-120.281,crude,150,
X&Y TERMINAL,dropoff,33.763,-118.218,crude,150,
YOUNG FEE DOS TRES LEASE,pickup,35.3056,-118.834,crude,150,
YOWLUMNE LEASE CRC,pickup,,,crude,150,
ZACA - CHAMBERLIN/DAVIS GREKA,pickup,34.7266,-120.148,crude,150,
ZENITH DOMINGUEZ HILLS TERMINAL,dropoff,,,crude,150,
